ID,Title,Lead,Member1,Member2,Advisor,Status
PRJ2001,Advanced Robotics,Cristiano Ronaldo,Lionel Messi,Manuel Neuer,Dr. Emily Chang,In Progress
PRJ2002,Next-Gen Wireless Communication,Robert Lewandowski,Gareth Bale,Thibaut Courtois,Dr. Aaron Smith,Planning
PRJ2003,Climate Change Impact Analysis,Eden Hazard,Thiago Silva,Sergio Ramos,Dr. Nora Khan,Completed
PRJ2004,Exploring Quantum Networks,Paul Pogba,Antoine Griezmann,Marco Reus,Dr. Lisa Park,In Progress
PRJ2005,Innovations in Renewable Energy,Toni Kroos,Mats Hummels,Hugo Lloris,Dr. John Lee,Planning
PRJ2006,Social Media and Mental Health,Giorgio Chiellini,Philipp Lahm,Gianluigi Buffon,Dr. Angela Yu,Completed
PRJ2007,Artificial Intelligence in Finance,Leonardo Bonucci,Arjen Robben,Paulo Dybala,Dr. Susan O'Neil,In Progress
PRJ2008,Human Genome Project,Marco Verratti,David Alaba,Henrikh Mkhitaryan,Dr. Kevin Brown,Planning
PRJ2009,Nano-technology in Medicine,Karim Benzema,Eden Hazard,Sergio Ramos,Dr. Rachel Green,In Progress
PRJ2010,Space Exploration Technologies,Manuel Neuer,Lionel Messi,Cristiano Ronaldo,Dr. Mark Zhang,Completed